,DateTime,Open,High,Low,Close,Volume
0,1622246400000,1.5133,1.5624,1.335,1.4029,576104659.27
1,1622332800000,1.4035,1.7,1.3457,1.5751,764079031.67
2,1622419200000,1.5751,1.75,1.5249,1.7373,600116070.88
3,1622505600000,1.7376,1.7796,1.6531,1.7363,530252586.94
4,1622592000000,1.7362,1.8042,1.7173,1.7534,431644801.42
5,1622678400000,1.7534,1.8897,1.7134,1.8453,417400945.02
6,1622764800000,1.8454,1.848,1.608,1.7077,596433033.05
7,1622851200000,1.708,1.7823,1.61,1.6551,369328430.6
8,1622937600000,1.6555,1.7077,1.6451,1.6771,191999153.68
9,1623024000000,1.6771,1.7414,1.55,1.5659,341267094.73
10,1623110400000,1.5659,1.5966,1.4,1.5819,612223590.99
11,1623196800000,1.5818,1.635,1.4827,1.6279,471664344.33
12,1623283200000,1.6282,1.6378,1.5064,1.5328,312406121.42
13,1623369600000,1.5328,1.5474,1.4192,1.4371,323101330.0
14,1623456000000,1.4368,1.4934,1.3562,1.4789,362965214.53
15,1623542400000,1.4789,1.58,1.4001,1.5566,330722303.94
16,1623628800000,1.5563,1.595,1.5056,1.5769,280791163.74
17,1623715200000,1.5769,1.6109,1.5441,1.5552,216159062.78
18,1623801600000,1.555,1.5754,1.474,1.4851,203580536.01
19,1623888000000,1.4851,1.5388,1.4568,1.4826,165078770.77
20,1623974400000,1.4825,1.4927,1.374,1.4163,220933715.72
21,1624060800000,1.4164,1.4411,1.3834,1.3839,145492869.0
22,1624147200000,1.384,1.46,1.306,1.4263,269372753.54
23,1624233600000,1.4262,1.4371,1.1672,1.174,512064782.95
24,1624320000000,1.1738,1.2634,1.0001,1.1567,907361654.28
25,1624406400000,1.1563,1.31,1.108,1.2512,490479573.3
26,1624492800000,1.2513,1.3998,1.2006,1.3604,427028527.81
27,1624579200000,1.3604,1.3971,1.2431,1.2521,548380704.22
28,1624665600000,1.252,1.2923,1.1968,1.2521,307404658.42
29,1624752000000,1.252,1.3499,1.241,1.338,242097878.29
30,1624838400000,1.3379,1.3506,1.3042,1.326,220547816.19
31,1624924800000,1.3261,1.42,1.319,1.373,287571860.2
32,1625011200000,1.3731,1.3993,1.2825,1.3853,263769140.47
33,1625097600000,1.3853,1.3862,1.302,1.3313,196824530.3
34,1625184000000,1.3312,1.3959,1.285,1.3946,235621261.45
35,1625270400000,1.3947,1.4444,1.3579,1.4045,197443853.76
36,1625356800000,1.4045,1.4955,1.3815,1.4615,185325977.32
37,1625443200000,1.4615,1.4616,1.3764,1.4039,210256310.91
38,1625529600000,1.4039,1.4578,1.3888,1.4157,173402604.28
39,1625616000000,1.4156,1.4416,1.4,1.404,125167776.95
40,1625702400000,1.404,1.4065,1.3194,1.327,175680408.72
41,1625788800000,1.3268,1.3746,1.2859,1.3504,160293985.2
42,1625875200000,1.3504,1.366,1.3158,1.3356,93476664.31
43,1625961600000,1.3356,1.3669,1.3231,1.3485,71704260.26
44,1626048000000,1.3485,1.3736,1.2916,1.3126,112067630.51
45,1626134400000,1.3126,1.3216,1.25,1.265,125015668.98
46,1626220800000,1.2649,1.2894,1.198,1.2635,165466902.33
47,1626307200000,1.2634,1.29,1.205,1.2258,133685795.15
48,1626393600000,1.2258,1.245,1.1655,1.1708,159173625.74
49,1626480000000,1.1705,1.1948,1.1497,1.1721,124485807.1
50,1626566400000,1.1721,1.2186,1.1666,1.1813,108584207.61
51,1626652800000,1.1814,1.1921,1.1156,1.1225,138646747.17
52,1626739200000,1.1226,1.1362,1.0202,1.0539,283618751.18
53,1626825600000,1.0541,1.2222,1.0366,1.1711,287296624.78
54,1626912000000,1.1711,1.2081,1.1492,1.1856,158912321.76
55,1626998400000,1.1857,1.2089,1.1465,1.2077,131335875.06
56,1627084800000,1.2075,1.2487,1.1964,1.2327,142716783.01
57,1627171200000,1.2332,1.2388,1.19,1.2284,107934124.51
58,1627257600000,1.2283,1.3991,1.2221,1.2551,415073283.88
59,1627344000000,1.2549,1.3,1.2136,1.288,111433297.28
