,DateTime,Open,High,Low,Close,Volume
0,1622246400000,0.10812,0.114,0.0925,0.09896,2641195002.7
1,1622332800000,0.09896,0.11475,0.0923,0.10752,2592725414.6
2,1622419200000,0.10741,0.12626,0.10203,0.12588,2486990006.3
3,1622505600000,0.12592,0.12973,0.11775,0.12068,2135264727.9
4,1622592000000,0.12063,0.13199,0.11703,0.12573,1643652027.8
5,1622678400000,0.12565,0.14509,0.12305,0.14323,2329521871.1
6,1622764800000,0.14323,0.15285,0.11971,0.12902,4259089209.7
7,1622851200000,0.12908,0.14189,0.12,0.12534,2588768201.7
8,1622937600000,0.12533,0.13399,0.12445,0.12766,1593745131.2
9,1623024000000,0.12766,0.1365,0.1128,0.11458,2210084147.9
10,1623110400000,0.1146,0.11846,0.099,0.11285,3698318136.9
11,1623196800000,0.11287,0.12,0.10557,0.11996,2757252229.9
12,1623283200000,0.11998,0.12267,0.10892,0.11204,2033141517.5
13,1623369600000,0.11205,0.11467,0.10341,0.10482,1752724258.3
14,1623456000000,0.10482,0.10792,0.09654,0.10624,1862749647.6
15,1623542400000,0.10624,0.1155,0.09985,0.11244,1479262301.4
16,1623628800000,0.11244,0.11654,0.10827,0.11334,1353761539.0
17,1623715200000,0.11328,0.11552,0.11,0.11135,990084203.2
18,1623801600000,0.11134,0.11445,0.10567,0.10752,884683659.8
19,1623888000000,0.10752,0.1115,0.10488,0.10726,599751647.1
20,1623974400000,0.10731,0.10759,0.09613,0.09957,853017181.9
21,1624060800000,0.09957,0.10204,0.09636,0.09639,656262172.9
22,1624147200000,0.09641,0.10077,0.08816,0.0984,1031915885.3
23,1624233600000,0.09837,0.09881,0.07301,0.07332,2223182586.9
24,1624320000000,0.0733,0.08108,0.05955,0.07176,4714450003.8
25,1624406400000,0.07172,0.08447,0.06793,0.07614,3150782283.6
26,1624492800000,0.07614,0.08327,0.07224,0.08077,1758052234.1
27,1624579200000,0.08074,0.08323,0.07116,0.07209,1780897549.9
28,1624665600000,0.07207,0.07591,0.069,0.074,1401930984.1
29,1624752000000,0.07399,0.07842,0.0713,0.07806,889825732.4
30,1624838400000,0.07805,0.08184,0.07568,0.07942,957312777.1
31,1624924800000,0.07943,0.09504,0.07895,0.09008,1890978743.2
32,1625011200000,0.09001,0.09442,0.08172,0.09134,1738170586.1
33,1625097600000,0.09133,0.09133,0.08248,0.08424,1227504580.6
34,1625184000000,0.08425,0.0877,0.08198,0.08655,1133495193.3
35,1625270400000,0.08656,0.09023,0.08423,0.08736,913099649.7
36,1625356800000,0.08732,0.09006,0.08484,0.08778,857726403.2
37,1625443200000,0.0878,0.08786,0.08131,0.08342,1009140828.9
38,1625529600000,0.08345,0.08715,0.08294,0.08446,796252433.9
39,1625616000000,0.08446,0.08611,0.0832,0.0834,635110376.1
40,1625702400000,0.08337,0.08366,0.07511,0.07607,1013992503.7
41,1625788800000,0.07605,0.07824,0.07233,0.07703,817633056.0
42,1625875200000,0.07701,0.07879,0.0745,0.07597,513741559.5
43,1625961600000,0.07599,0.0791,0.07493,0.07768,396751737.1
44,1626048000000,0.07768,0.07901,0.07378,0.07495,485047192.5
45,1626134400000,0.07495,0.07573,0.07158,0.07294,522685098.1
46,1626220800000,0.07297,0.0737,0.06839,0.07256,719807940.1
47,1626307200000,0.07256,0.07396,0.0676,0.06904,689990562.2
48,1626393600000,0.06899,0.07049,0.06501,0.06521,724702951.4
49,1626480000000,0.06523,0.06659,0.06342,0.0655,599977171.4
50,1626566400000,0.0655,0.06886,0.06494,0.06755,633980705.8
51,1626652800000,0.06758,0.06773,0.06147,0.0618,706226626.3
52,1626739200000,0.0618,0.06285,0.05603,0.05773,1066995893.8
53,1626825600000,0.05776,0.06833,0.05598,0.06605,1520542309.5
54,1626912000000,0.06605,0.069,0.06409,0.06777,878820265.0
55,1626998400000,0.06777,0.07103,0.06414,0.07099,795338860.2
56,1627084800000,0.071,0.07343,0.06963,0.07219,740146961.8
57,1627171200000,0.07221,0.0744,0.0693,0.07438,611924366.9
58,1627257600000,0.07439,0.08982,0.07367,0.07754,2583820456.1
59,1627344000000,0.07759,0.0847,0.07468,0.08291,682270068.7
