,DateTime,Open,High,Low,Close,Volume
0,1622246400000,0.7471,0.7881,0.6394,0.6811,19190114.6
1,1622332800000,0.6803,0.7403,0.6359,0.7036,14438359.98
2,1622419200000,0.7036,0.7681,0.6675,0.7679,13648087.96
3,1622505600000,0.7673,0.775,0.7225,0.747,12224651.15
4,1622592000000,0.7472,0.8475,0.7324,0.7969,21380592.73
5,1622678400000,0.797,0.85,0.7866,0.83,12880206.93
6,1622764800000,0.8304,0.8307,0.7152,0.7609,17115084.07
7,1622851200000,0.7607,0.8191,0.7188,0.7506,15375892.29
8,1622937600000,0.7508,0.7786,0.7418,0.7628,8344119.9
9,1623024000000,0.7625,0.7999,0.6879,0.6948,14150596.86
10,1623110400000,0.6946,0.7087,0.6061,0.6696,20816045.12
11,1623196800000,0.6692,0.7038,0.6349,0.7029,12771071.03
12,1623283200000,0.703,0.7082,0.6452,0.6643,9886878.53
13,1623369600000,0.6644,0.719,0.6391,0.6466,17357058.81
14,1623456000000,0.6467,0.6478,0.5916,0.6168,14755802.68
15,1623542400000,0.6168,0.66,0.5973,0.6486,12391091.7
16,1623628800000,0.6486,0.677,0.6382,0.6716,12787488.22
17,1623715200000,0.6715,0.7233,0.6667,0.6906,17381806.39
18,1623801600000,0.6905,0.6912,0.6491,0.656,9877811.76
19,1623888000000,0.6562,0.6894,0.6421,0.6576,8065439.27
20,1623974400000,0.6578,0.6586,0.5875,0.6104,13051603.4
21,1624060800000,0.6103,0.6281,0.5909,0.5958,5022689.32
22,1624147200000,0.5956,0.6084,0.559,0.6005,10745233.12
23,1624233600000,0.6002,0.6042,0.4985,0.5105,23063081.61
24,1624320000000,0.5102,0.5326,0.425,0.4836,35426983.32
25,1624406400000,0.4838,0.5674,0.4679,0.5508,15194506.52
26,1624492800000,0.5509,0.5791,0.526,0.5735,10131651.4
27,1624579200000,0.573,0.592,0.5103,0.5179,13029023.75
28,1624665600000,0.5181,0.5311,0.4851,0.5111,11315955.7
29,1624752000000,0.5111,0.5426,0.5002,0.541,7648662.63
30,1624838400000,0.5425,0.5697,0.5313,0.5575,8222684.73
31,1624924800000,0.5577,0.6194,0.5552,0.5866,11975354.65
32,1625011200000,0.587,0.6163,0.5616,0.6158,10125640.43
33,1625097600000,0.6158,0.6188,0.5601,0.5813,9524818.27
34,1625184000000,0.5808,0.59,0.5463,0.5812,5086857.89
35,1625270400000,0.5812,0.5974,0.5669,0.589,6390638.29
36,1625356800000,0.5889,0.62,0.5675,0.606,7738386.15
37,1625443200000,0.605,0.6054,0.5561,0.5663,8828839.51
38,1625529600000,0.567,0.5995,0.5658,0.5929,10542925.59
39,1625616000000,0.5924,0.6476,0.5861,0.6134,16901885.26
40,1625702400000,0.6135,0.6168,0.5599,0.5679,15264230.9
41,1625788800000,0.5686,0.5734,0.5373,0.5696,12681456.21
42,1625875200000,0.5699,0.58,0.5466,0.5575,6598421.04
43,1625961600000,0.5586,0.5667,0.546,0.5629,6175735.17
44,1626048000000,0.5633,0.5719,0.5405,0.5484,6231040.44
45,1626134400000,0.548,0.5535,0.5271,0.5357,6771942.7
46,1626220800000,0.5363,0.5384,0.497,0.531,8541813.59
47,1626307200000,0.531,0.5393,0.4981,0.5069,8438487.45
48,1626393600000,0.5072,0.5796,0.494,0.5494,40555068.49
49,1626480000000,0.5493,0.6023,0.5307,0.5341,57439066.66
50,1626566400000,0.5344,0.5549,0.5135,0.5189,17565413.33
51,1626652800000,0.519,0.5202,0.4877,0.4955,11781402.35
52,1626739200000,0.4953,0.5027,0.4557,0.4661,14663833.9
53,1626825600000,0.4665,0.507,0.456,0.5033,15546966.45
54,1626912000000,0.503,0.5224,0.4953,0.5128,10525981.04
55,1626998400000,0.5128,0.5311,0.5008,0.5252,8983397.84
56,1627084800000,0.5253,0.5556,0.5202,0.5358,9520344.51
57,1627171200000,0.5355,0.5474,0.5215,0.542,5843455.11
58,1627257600000,0.5424,0.599,0.5398,0.5475,18359105.99
59,1627344000000,0.5477,0.5754,0.5358,0.5635,6153276.66
